id,created,modified,codigo,habilitado,nombre
1,10/11/2015 10:37,10/11/2015 10:37,A00.0,True,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE"
2,10/11/2015 10:37,10/11/2015 10:37,A00.1,True,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR"
3,10/11/2015 10:37,10/11/2015 10:37,A00.9,True,"COLERA, NO ESPECIFICADO"
4,10/11/2015 10:37,10/11/2015 10:37,A01,True,FIEBRES TIFOIDEA Y PARATIFOIDEA
5,10/11/2015 10:37,10/11/2015 10:37,A01.0,True,FIEBRE TIFOIDEA
6,10/11/2015 10:37,10/11/2015 10:37,A01.1,True,FIEBRE PARATIFOIDEA A
7,10/11/2015 10:37,10/11/2015 10:37,A01.2,True,FIEBRE PARATIFOIDEA B
8,10/11/2015 10:37,10/11/2015 10:37,A01.3,True,FIEBRE PARATIFOIDEA C
9,10/11/2015 10:37,10/11/2015 10:37,A01.4,True,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA"
10,10/11/2015 10:37,10/11/2015 10:37,A02,True,OTRAS INFECCIONES DEBIDAS A SALMONELLA
11,10/11/2015 10:37,10/11/2015 10:37,A02.0,True,ENTERITIS DEBIDA A SALMONELLA
12,10/11/2015 10:37,10/11/2015 10:37,A02.1,True,SEPTICEMIA DEBIDA A SALMONELLA
13,10/11/2015 10:37,10/11/2015 10:37,A02.2,True,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
14,10/11/2015 10:37,10/11/2015 10:37,A02.8,True,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
15,10/11/2015 10:37,10/11/2015 10:37,A02.9,True,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA"
16,10/11/2015 10:37,10/11/2015 10:37,A03,True,SHIGELOSIS
17,10/11/2015 10:37,10/11/2015 10:37,A03.0,True,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
18,10/11/2015 10:37,10/11/2015 10:37,A03.1,True,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
19,10/11/2015 10:37,10/11/2015 10:37,A03.2,True,SHIGELOSIS DEBIDA A SHIGELLA BOYDII
