id,created,modified,codigo,nombre,habilitado
1,10/11/2015 10:37,10/11/2015 10:37,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",True
2,10/11/2015 10:37,10/11/2015 10:37,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",True
3,10/11/2015 10:37,10/11/2015 10:37,A00.9,"COLERA, NO ESPECIFICADO",True
4,10/11/2015 10:37,10/11/2015 10:37,A01,FIEBRES TIFOIDEA Y PARATIFOIDEA,True
5,10/11/2015 10:37,10/11/2015 10:37,A01.0,FIEBRE TIFOIDEA,True
6,10/11/2015 10:37,10/11/2015 10:37,A01.1,FIEBRE PARATIFOIDEA A,True
7,10/11/2015 10:37,10/11/2015 10:37,A01.2,FIEBRE PARATIFOIDEA B,True
8,10/11/2015 10:37,10/11/2015 10:37,A01.3,FIEBRE PARATIFOIDEA C,True
9,10/11/2015 10:37,10/11/2015 10:37,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",True
10,10/11/2015 10:37,10/11/2015 10:37,A02,OTRAS INFECCIONES DEBIDAS A SALMONELLA,True
11,10/11/2015 10:37,10/11/2015 10:37,A02.0,ENTERITIS DEBIDA A SALMONELLA,True
12,10/11/2015 10:37,10/11/2015 10:37,A02.1,SEPTICEMIA DEBIDA A SALMONELLA,True
13,10/11/2015 10:37,10/11/2015 10:37,A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,True
14,10/11/2015 10:37,10/11/2015 10:37,A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,True
15,10/11/2015 10:37,10/11/2015 10:37,A02.9,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",True
16,10/11/2015 10:37,10/11/2015 10:37,A03,SHIGELOSIS,True
17,10/11/2015 10:37,10/11/2015 10:37,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,True
18,10/11/2015 10:37,10/11/2015 10:37,A03.1,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,True
19,10/11/2015 10:37,10/11/2015 10:37,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,True
20,10/11/2015 10:37,10/11/2015 10:37,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,True
21,10/11/2015 10:37,10/11/2015 10:37,A03.8,OTRAS SHIGELOSIS,True
22,10/11/2015 10:37,10/11/2015 10:37,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,True
23,10/11/2015 10:37,10/11/2015 10:37,A04,OTRAS INFECCIONES INTESTINALES BACTERIANAS,True
24,10/11/2015 10:37,10/11/2015 10:37,A04.0,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,True
25,10/11/2015 10:37,10/11/2015 10:37,A04.1,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,True
26,10/11/2015 10:37,10/11/2015 10:37,A04.2,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,True
27,10/11/2015 10:37,10/11/2015 10:37,A04.3,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,True
28,10/11/2015 10:37,10/11/2015 10:37,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,True
29,10/11/2015 10:37,10/11/2015 10:37,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,True
30,10/11/2015 10:37,10/11/2015 10:37,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,True
